Structure,VALUE_TENURE,value_range,PERSONS,0-4,17-May,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",All Values,,3.7118046,0.37189759,0.78099613,0.98498515,0.59784862,0.42506583,0.33878649,0.15782397,0.05440081," 17,849 ",0.241,3.316,4.107,11%
"2-4 Units (Own/Rent), 3 BR",    Below Median,231000,3.8657013,0.43041892,0.88305516,1.0270808,0.62396374,0.42058141,0.32154305,0.10976014,0.04929811," 9,047 ",0.347,3.294,4.437,15%
"2-4 Units (Own/Rent), 3 BR",    Above Median,231000,3.5536242,0.31174733,0.67609634,0.94171779,0.57100659,0.42967507,0.35650988,0.20722563,0.05964554," 8,802 ",0.371,2.944,4.163,17%
"5-49 Units (Own), 0-1 BR",All Values,,1.4024337,0.02129509,0.00825728,0.41938288,0.23337679,0.13906997,0.23120382,0.15514993,0.19469796," 2,301 ",0.239,1.009,1.796,28%
"5-49 Units (Own), 0-1 BR",    Below Median,248000,1.4433071,0,0.01496063,0.3519685,0.19685039,0.11574803,0.29685039,0.22519685,0.24173228," 1,270 ",0.384,0.812,2.075,44%
"5-49 Units (Own), 0-1 BR",    Above Median,248000,1.3520854,0.04752667,0,0.50242483,0.27837051,0.16779825,0.15033948,0.06886518,0.13676043," 1,031 ",0.280,0.891,1.813,34%
"5-49 Units (Own), 2 BR",All Values,,1.9556077,0.12018407,0.14265091,0.36840206,0.37498872,0.15871154,0.22466841,0.28602364,0.27997835," 11,083 ",0.187,1.649,2.263,16%
"5-49 Units (Own), 2 BR",    Below Median,350000,1.9458807,0.1204757,0.17493968,0.34264047,0.35246467,0.13598759,0.24577732,0.29438125,0.27921406," 5,802 ",0.277,1.490,2.402,23%
"5-49 Units (Own), 2 BR",    Above Median,350000,1.9662943,0.11986366,0.10717667,0.39670517,0.3997349,0.18367733,0.20147699,0.27684151,0.28081803," 5,281 ",0.209,1.623,2.310,17%
"5-49 Units (Own), 3 BR",All Values,,2.7132668,0.23359486,0.38195435,0.39407989,0.54957204,0.32810271,0.47503566,0.17368046,0.17724679," 2,804 ",0.355,2.130,3.297,22%
"5-49 Units (Own), 3 BR",    Below Median,475000,2.6238223,0.230821,0.32772544,0.51009421,0.47913863,0.3102288,0.46971736,0.17362046,0.12247645," 1,486 ",0.513,1.780,3.468,32%
"5-49 Units (Own), 3 BR",    Above Median,475000,2.8141123,0.23672231,0.4430956,0.26327769,0.62898331,0.34825493,0.48103187,0.1737481,0.23899848," 1,318 ",0.633,1.772,3.856,37%
"5-49 Units (Rent), 0-1 BR",All Values,,1.5404235,0.07902828,0.07972113,0.63408825,0.20716234,0.1367947,0.15771013,0.14545533,0.10046334," 23,093 ",0.100,1.375,1.705,11%
"5-49 Units (Rent), 0-1 BR",    Below Median,167000,1.5062329,0.09921448,0.10194672,0.49052254,0.18639003,0.13831967,0.13891735,0.19962432,0.15129781," 11,712 ",0.150,1.259,1.753,16%
"5-49 Units (Rent), 0-1 BR",    Above Median,167000,1.5756085,0.05825499,0.05684913,0.78182936,0.22853879,0.13522538,0.17704947,0.08971092,0.04815043," 11,381 ",0.140,1.345,1.806,15%
"5-49 Units (Rent), 2 BR",All Values,,2.3426137,0.19754101,0.35528233,0.69486902,0.40405097,0.26731193,0.17638925,0.14686647,0.1003027," 26,759 ",0.135,2.120,2.565,9%
"5-49 Units (Rent), 2 BR",    Below Median,217000,2.4468622,0.20096547,0.50486446,0.64121797,0.42161159,0.27597475,0.16256962,0.13939844,0.10025993," 13,465 ",0.225,2.077,2.817,15%
"5-49 Units (Rent), 2 BR",    Above Median,217000,2.2370242,0.19407251,0.20377614,0.74921017,0.38626448,0.25853769,0.19038664,0.15443057,0.10034602," 13,294 ",0.197,1.913,2.561,14%
"5-49 Units (Rent), 3 BR",All Values,,3.7681124,0.4909135,1.1112188,1.0058154,0.45384056,0.34916404,0.20353768,0.08989581,0.06372668," 4,127 ",0.656,2.689,4.847,29%
"5-49 Units (Rent), 3 BR",    Below Median,163000,4.1546533,0.62682482,1.4808394,1.0095803,0.44114964,0.34078467,0.14005474,0.07755474,0.03786496," 2,192 ",0.973,2.555,5.755,39%
"5-49 Units (Rent), 3 BR",    Above Median,163000,3.3302326,0.3369509,0.69250646,1.0015504,0.46821705,0.35865633,0.2754522,0.10387597,0.09302326," 1,935 ",0.786,2.038,4.623,39%
