Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
All Housing Types (Rent) 0-1 BR,First Tercile,Below 82000,0.0180558,0.01248068,0.00200198,0.00357315
All Housing Types (Rent) 0-1 BR,Second Tercile,82000 to 119000,0.04615442,0.02584947,0.01057706,0.00972789
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 119000,0.04717425,0.02742747,0.00883278,0.010914
All Housing Types (Rent) 2 BR,All Values,,0.28916123,0.16495338,0.05969789,0.06450996
All Housing Types (Rent) 2 BR,First Tercile,Below 106000,0.2978559,0.17283865,0.05742432,0.06759292
All Housing Types (Rent) 2 BR,Second Tercile,106000 to 150000,0.35312176,0.2050292,0.07023959,0.07785297
All Housing Types (Rent) 2 BR,Third Tercile ,Above 150000,0.21718594,0.11746474,0.05147119,0.04825001
All Housing Types (Rent) 3 BR,All Values,,0.81581724,0.38825175,0.20258957,0.22497592
All Housing Types (Rent) 3 BR,First Tercile,Below 117000,0.85112497,0.41508376,0.20095325,0.23508797
All Housing Types (Rent) 3 BR,Second Tercile,117000 to 178000,0.82594894,0.41616603,0.21118924,0.19859366
All Housing Types (Rent) 3 BR,Third Tercile ,Above 178000,0.7714023,0.33433222,0.19560035,0.24146973
All Housing Types (Rent) 4-5 BR,All Values,,0.99534973,0.43632711,0.24704199,0.31198063
All Housing Types (Rent) 4-5 BR,First Tercile,Below 136000,0.88351224,0.44464945,0.1848373,0.25402549
All Housing Types (Rent) 4-5 BR,Second Tercile,136000 to 212000,1.0825319,0.42038635,0.28771065,0.37443485
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 212000,1.0176283,0.44405452,0.26719987,0.30637395
