Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
All Housing Types (Own) 0-1 BR,All Values,,1.6358548,0.0503441,0.10582826,0.34724007,0.20822982,0.26759759,0.30483452,0.21334133,0.13843913
All Housing Types (Own) 0-1 BR,First Tercile,Below 126000,1.6930077,0.07190485,0.13209587,0.29149396,0.18039286,0.24454857,0.37583348,0.25409984,0.14263831
All Housing Types (Own) 0-1 BR,Second Tercile,126000 to 230000,1.5860033,0.04384822,0.11157419,0.38134931,0.21542068,0.23070244,0.25301728,0.21264218,0.13744899
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 230000,1.6310061,0.03708481,0.07699129,0.36544663,0.22645921,0.32247662,0.28942277,0.17752338,0.13560142
All Housing Types (Own) 2 BR,All Values,,1.8731681,0.05514111,0.13098019,0.27417544,0.21235029,0.25187799,0.33980208,0.33737467,0.27146628
All Housing Types (Own) 2 BR,First Tercile,Below 110000,1.9204839,0.06173969,0.14612714,0.25958123,0.18107439,0.28960329,0.3779874,0.31823932,0.28613145
All Housing Types (Own) 2 BR,Second Tercile,110000 to 212000,1.8484648,0.04889617,0.14724724,0.28078587,0.21898673,0.23963409,0.31303681,0.33942749,0.26045037
All Housing Types (Own) 2 BR,Third Tercile ,Above 212000,1.8528353,0.05501838,0.10104749,0.28142469,0.23518155,0.22844589,0.33000957,0.35328851,0.2684192
All Housing Types (Own) 3 BR,All Values,,2.5110774,0.11847941,0.35307473,0.44184349,0.30382283,0.35569921,0.40869984,0.32787479,0.20158308
All Housing Types (Own) 3 BR,First Tercile,Below 148000,2.5553863,0.11415434,0.36258852,0.46120685,0.29822787,0.33871188,0.42092176,0.33252816,0.22704693
All Housing Types (Own) 3 BR,Second Tercile,148000 to 236000,2.5517099,0.12969839,0.38435697,0.48446059,0.31915835,0.36618403,0.38961323,0.30000863,0.17822971
All Housing Types (Own) 3 BR,Third Tercile ,Above 236000,2.4289786,0.11141914,0.31305412,0.3812872,0.29387311,0.36130263,0.41612694,0.35115097,0.20076445
All Housing Types (Own) 4-5 BR,All Values,,3.2418395,0.18722446,0.685067,0.5534353,0.45583518,0.5143544,0.42940884,0.27697715,0.13953717
All Housing Types (Own) 4-5 BR,First Tercile,Below 243000,3.3525683,0.17741869,0.6839126,0.70904464,0.43238209,0.48086948,0.42792312,0.28033991,0.16067776
All Housing Types (Own) 4-5 BR,Second Tercile,243000 to 392000,3.2373777,0.19846788,0.66957161,0.56539244,0.46827739,0.50870963,0.41617914,0.28001207,0.13076755
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 392000,3.1445061,0.18598133,0.70021155,0.40007945,0.46599848,0.55014708,0.44279692,0.27113883,0.12815242
All Housing Types (Rent) 0-1 BR,All Values,,1.3396313,0.04964983,0.04619382,0.56912021,0.16518535,0.13895413,0.15334069,0.11989509,0.09729215
All Housing Types (Rent) 0-1 BR,First Tercile,Below 89000,1.2703141,0.04151831,0.04979442,0.29352111,0.11693583,0.14118133,0.22885936,0.24581426,0.15268947
All Housing Types (Rent) 0-1 BR,Second Tercile,89000 to 135000,1.4103371,0.06930026,0.05723431,0.67085009,0.18145255,0.15901577,0.14199078,0.07159553,0.05889785
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 135000,1.3377995,0.03809183,0.03159245,0.74102392,0.19682182,0.11670488,0.0897293,0.04317144,0.08066382
All Housing Types (Rent) 2 BR,All Values,,2.2465734,0.20466322,0.3604191,0.81170296,0.30843316,0.22479762,0.1790054,0.10039702,0.05715489
All Housing Types (Rent) 2 BR,First Tercile,Below 100000,2.1391009,0.22462104,0.34777812,0.65123553,0.25533406,0.21464076,0.22671702,0.14682941,0.07194492
All Housing Types (Rent) 2 BR,Second Tercile,100000 to 139000,2.3132522,0.22424102,0.41561449,0.82394719,0.30784382,0.22559473,0.17783637,0.09044833,0.04772628
All Housing Types (Rent) 2 BR,Third Tercile ,Above 139000,2.2862444,0.16526045,0.31762058,0.95845659,0.3616463,0.23406431,0.13289389,0.0643537,0.05194855
All Housing Types (Rent) 3 BR,All Values,,3.2098565,0.28981758,0.81948676,0.94959757,0.47185555,0.32250034,0.21536394,0.09862831,0.04260647
All Housing Types (Rent) 3 BR,First Tercile,Below 113000,3.0506666,0.28853522,0.85069607,0.83981727,0.41270956,0.27539398,0.21663113,0.11486451,0.05201886
All Housing Types (Rent) 3 BR,Second Tercile,113000 to 156000,3.3115306,0.31530267,0.85065064,0.96410517,0.49200375,0.32857377,0.22204328,0.09983034,0.03902099
All Housing Types (Rent) 3 BR,Third Tercile ,Above 156000,3.2660176,0.26574355,0.7576684,1.0436212,0.51025022,0.36299645,0.20747059,0.08139376,0.03687338
All Housing Types (Rent) 4-5 BR,All Values,,4.0592274,0.35661339,1.1653469,1.1675919,0.62408771,0.39450912,0.21841886,0.09711496,0.0355446
All Housing Types (Rent) 4-5 BR,First Tercile,Below 146000,4.0393544,0.40904386,1.1827008,1.1895761,0.5442829,0.34672252,0.20330212,0.11761952,0.04610646
All Housing Types (Rent) 4-5 BR,Second Tercile,146000 to 201000,4.1071795,0.37810957,1.183471,1.2109134,0.65248522,0.35631201,0.21929524,0.08667709,0.01991594
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 201000,4.0310304,0.28325039,1.1300742,1.102581,0.67474141,0.47994731,0.23250878,0.08723653,0.04069087
