Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Rent) 0-1 BR,Second Tercile,26000 to 50000,0.03088616,0.01665589,0.00380013,0.01043014
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 50000,0.04544745,0.01639856,0.00905825,0.01999063
All Housing Types (Rent) 2 BR,All Values,,0.33263138,0.18437026,0.071986,0.07627512
All Housing Types (Rent) 2 BR,First Tercile,Below 39000,0.3864085,0.24757966,0.07044835,0.06838049
All Housing Types (Rent) 2 BR,Second Tercile,39000 to 59000,0.32476213,0.15725226,0.09203992,0.07546995
All Housing Types (Rent) 2 BR,Third Tercile ,Above 59000,0.28783492,0.14940944,0.05363298,0.0847925
All Housing Types (Rent) 3 BR,All Values,,0.84945813,0.39279899,0.20287305,0.25378609
All Housing Types (Rent) 3 BR,First Tercile,Below 52000,0.87950949,0.44501582,0.1978903,0.23660338
All Housing Types (Rent) 3 BR,Second Tercile,52000 to 78000,0.86636936,0.4066107,0.20671563,0.25304302
All Housing Types (Rent) 3 BR,Third Tercile ,Above 78000,0.80274389,0.32717181,0.20398492,0.27158716
All Housing Types (Rent) 4-5 BR,All Values,,1.0277311,0.42064076,0.25493697,0.35215336
All Housing Types (Rent) 4-5 BR,First Tercile,Below 54000,1.109661,0.46586026,0.26325004,0.38055069
All Housing Types (Rent) 4-5 BR,Second Tercile,54000 to 90000,1.0768862,0.44549233,0.28324808,0.34814578
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 90000,0.90124596,0.35302261,0.21965851,0.32856484
