Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
All Housing Types (Own) 0-1 BR,All Values,,0.05675323,0.02388115,0.01306862,0.01980347,59838.0,0.00813784,0.04336649,0.07013998,0.2358764
All Housing Types (Own) 0-1 BR,First Tercile,Below 260000,0.04484991,0.02237399,0.01019316,0.01228276,19621.0,0.01458465,0.02085815,0.06884166,0.53493432
All Housing Types (Own) 0-1 BR,Second Tercile,260000 to 435000,0.06866008,0.03054542,0.01605111,0.02206356,18628.0,0.01761558,0.03968245,0.09763771,0.42204478
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 435000,0.0572977,0.01950067,0.01310853,0.0246885,21589.0,0.0120033,0.03755226,0.07704313,0.34461129
All Housing Types (Own) 2 BR,All Values,,0.13808888,0.06587327,0.03149981,0.0407158,344510.0,0.00437949,0.13088462,0.14529314,0.05217119
All Housing Types (Own) 2 BR,First Tercile,Below 275000,0.14507656,0.06649156,0.03688098,0.04170402,111548.0,0.00773892,0.13234604,0.15780708,0.08775036
All Housing Types (Own) 2 BR,Second Tercile,275000 to 442000,0.13949119,0.06287566,0.03284031,0.04377521,112301.0,0.006898,0.12814398,0.1508384,0.08134717
All Housing Types (Own) 2 BR,Third Tercile ,Above 442000,0.1303238,0.0680916,0.02527743,0.03695477,120661.0,0.00831419,0.11664695,0.14400065,0.10494513
All Housing Types (Own) 3 BR,All Values,,0.3987914,0.17377715,0.09156602,0.13344823,740362.0,0.00506027,0.39046726,0.40711554,0.02087342
All Housing Types (Own) 3 BR,First Tercile,Below 332000,0.36363437,0.15457835,0.08480068,0.12425533,227451.0,0.00873954,0.34925781,0.37801092,0.03953573
All Housing Types (Own) 3 BR,Second Tercile,332000 to 500000,0.40492794,0.17483566,0.09085839,0.13923388,259987.0,0.01060464,0.38748331,0.42237257,0.04308083
All Housing Types (Own) 3 BR,Third Tercile ,Above 500000,0.42409973,0.18995429,0.09837738,0.13576806,252924.0,0.0099623,0.40771175,0.44048771,0.0386418
All Housing Types (Own) 4-5 BR,All Values,,0.66267471,0.27126088,0.15774866,0.23366517,504765.0,0.00912233,0.64766848,0.67768094,0.02264494
All Housing Types (Own) 4-5 BR,First Tercile,Below 450000,0.59108188,0.24263655,0.138598,0.20984733,160998.0,0.0149689,0.56645804,0.61570572,0.04165893
All Housing Types (Own) 4-5 BR,Second Tercile,450000 to 710000,0.65145685,0.26966385,0.15566096,0.22613204,169715.0,0.01707528,0.62336801,0.67954569,0.04311696
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 710000,0.73983637,0.29929561,0.17749868,0.26304208,174052.0,0.01812789,0.71001599,0.76965675,0.04030672
All Housing Types (Rent) 0-1 BR,All Values,,0.03383728,0.01751136,0.00714294,0.00918299,362736.0,0.00262699,0.02951588,0.03815868,0.12771129
All Housing Types (Rent) 0-1 BR,First Tercile,Below 86000,0.01592719,0.00854079,0.00266011,0.00472629,119544.0,0.00275212,0.01139995,0.02045443,0.2842457
All Housing Types (Rent) 0-1 BR,Second Tercile,86000 to 172000,0.05260017,0.02752248,0.01088965,0.01418804,120665.0,0.00626688,0.04229116,0.06290919,0.19598824
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 172000,0.03283358,0.01640455,0.00782685,0.00860219,122527.0,0.00435655,0.02566705,0.04000011,0.21826827
All Housing Types (Rent) 2 BR,All Values,,0.3093858,0.16142106,0.06763343,0.08033131,383686.0,0.0076754,0.29675977,0.32201183,0.04080999
All Housing Types (Rent) 2 BR,First Tercile,Below 134000,0.32974809,0.17586565,0.06780514,0.0860773,127188.0,0.01400563,0.30670884,0.35278734,0.06986926
All Housing Types (Rent) 2 BR,Second Tercile,134000 to 206000,0.35935411,0.17849334,0.08253764,0.09832313,127142.0,0.01640977,0.33236003,0.38634818,0.07511831
All Housing Types (Rent) 2 BR,Third Tercile ,Above 206000,0.24025171,0.13043848,0.05281549,0.05699774,129356.0,0.01178626,0.22086331,0.25964011,0.08070037
All Housing Types (Rent) 3 BR,All Values,,0.71847194,0.31374213,0.17664843,0.22808139,186223.0,0.02198387,0.68230848,0.7546354,0.05033385
All Housing Types (Rent) 3 BR,First Tercile,Below 140000,0.80809327,0.34136598,0.209899,0.25682829,61582.0,0.03691756,0.74736389,0.86882266,0.07515146
All Housing Types (Rent) 3 BR,Second Tercile,140000 to 217000,0.75635692,0.33908923,0.17990523,0.23736246,62255.0,0.03881236,0.69251058,0.82020325,0.08441297
All Housing Types (Rent) 3 BR,Third Tercile ,Above 217000,0.59220017,0.26118039,0.14057641,0.19044337,62386.0,0.03460091,0.53528168,0.64911867,0.0961136
All Housing Types (Rent) 4-5 BR,All Values,,0.99670377,0.4450526,0.25836775,0.29328342,49147.0,0.04779042,0.91808852,1.075319,0.07887524
All Housing Types (Rent) 4-5 BR,First Tercile,Below 165000,1.1431228,0.50523771,0.28370421,0.35418087,16133.0,0.08645819,1.0008991,1.2853465,0.12441684
All Housing Types (Rent) 4-5 BR,Second Tercile,165000 to 250000,1.0754694,0.47918819,0.2872334,0.30904782,16457.0,0.08650007,0.93317678,1.217762,0.13230746
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 250000,0.7757444,0.35247931,0.20498883,0.21827626,16557.0,0.07436846,0.65340827,0.89808052,0.15770159
