Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"50+ Units (Own), 2 BR",Second Tercile,144000 to 300000,1.3449367,0.0,0.0,0.08860759,0.0,0.0,0.18670886,0.54113924,0.52848101
"50+ Units (Own), 2 BR",Third Tercile ,Above 300000,2.4142857,0.32571429,0.13428571,0.14285714,0.68857143,0.08285714,0.12857143,0.34285714,0.56857143
"50+ Units (Own), 3 BR",All Values,,1.1454545,0.0,0.0,0.0,0.0,0.0,0.83636364,0.30909091,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 100000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 100000,1.0222222,0.0,0.0,0.0,0.0,0.0,1.0222222,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,1.1197386,0.00261438,0.00039216,0.12183007,0.04928105,0.10470588,0.2103268,0.16941176,0.46117647
"50+ Units (Rent), 0-1 BR",First Tercile,Below 33000,1.1285838,0.0086881,0.0,0.06733275,0.08470895,0.0981755,0.39704605,0.18418766,0.28844483
"50+ Units (Rent), 0-1 BR",Second Tercile,33000 to 97000,1.0620411,0.0,0.0,0.03964758,0.00770925,0.14207048,0.13509545,0.19787078,0.53964758
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 97000,1.171875,0.0,0.00114329,0.25495427,0.06135671,0.07164634,0.1246189,0.12690549,0.53125
"50+ Units (Rent), 2 BR",All Values,,1.9089791,0.1199262,0.02337023,0.65067651,0.1599016,0.16912669,0.30504305,0.12484625,0.35608856
"50+ Units (Rent), 2 BR",First Tercile,Below 83000,1.9878641,0.28883495,0.09223301,0.61165049,0.10194175,0.0,0.50970874,0.1868932,0.19660194
"50+ Units (Rent), 2 BR",Second Tercile,83000 to 170000,2.1214789,0.13380282,0.0,0.58978873,0.10387324,0.48415493,0.38908451,0.04929577,0.37147887
"50+ Units (Rent), 2 BR",Third Tercile ,Above 170000,1.6718266,0.0,0.0,0.72910217,0.24613003,0.0,0.1006192,0.15170279,0.44427245
"50+ Units (Rent), 3 BR",All Values,,2.3987342,0.0,0.11392405,1.1898734,0.13924051,0.39873418,0.12658228,0.22151899,0.20886076
"50+ Units (Rent), 3 BR",First Tercile,Below 125000,1.3928571,0.0,0.0,0.0,0.0,0.0,0.71428571,0.0,0.67857143
"50+ Units (Rent), 3 BR",Second Tercile,125000 to 199000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"50+ Units (Rent), 3 BR",Third Tercile ,Above 199000,2.7073171,0.0,0.14634146,1.5284553,0.17886179,0.45528455,0.0,0.28455285,0.11382114
All Housing Types (Own) 0-1 BR,All Values,,1.5857695,0.01926794,0.04342836,0.13680841,0.14925103,0.22541677,0.44497463,0.33607151,0.23055086
All Housing Types (Own) 0-1 BR,First Tercile,Below 120000,1.5862469,0.03708712,0.04693838,0.11628356,0.1512459,0.23546455,0.44330693,0.31176357,0.24415685
All Housing Types (Own) 0-1 BR,Second Tercile,120000 to 221000,1.4829993,0.00107373,0.01914817,0.13582677,0.14906943,0.24194703,0.51485326,0.26288475,0.15819613
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 221000,1.6845104,0.02089449,0.06371956,0.1561043,0.14764289,0.20048351,0.37903644,0.42842342,0.28820584
All Housing Types (Own) 2 BR,All Values,,1.9149326,0.05794072,0.11116069,0.257727,0.17335244,0.24554934,0.40469256,0.41280708,0.25170276
All Housing Types (Own) 2 BR,First Tercile,Below 150000,1.8909418,0.05327103,0.12340043,0.27508986,0.17379583,0.25183321,0.39910137,0.40233645,0.21211359
All Housing Types (Own) 2 BR,Second Tercile,150000 to 250000,1.962815,0.08280608,0.12820513,0.29215229,0.18803419,0.25752026,0.40714841,0.37395937,0.23298923
All Housing Types (Own) 2 BR,Third Tercile ,Above 250000,1.8942558,0.04005411,0.08472731,0.21109241,0.15985351,0.22910687,0.4076347,0.45705896,0.30472797
All Housing Types (Own) 3 BR,All Values,,2.4727744,0.1200091,0.34477773,0.38473744,0.30241903,0.3576987,0.425986,0.35617158,0.18097487
All Housing Types (Own) 3 BR,First Tercile,Below 178000,2.4315059,0.10369575,0.38036548,0.39483823,0.29671678,0.34185674,0.4070267,0.31979817,0.18720807
All Housing Types (Own) 3 BR,Second Tercile,178000 to 297000,2.5191275,0.12479723,0.34475156,0.4346169,0.32249783,0.38442397,0.41261517,0.3395228,0.15590204
All Housing Types (Own) 3 BR,Third Tercile ,Above 297000,2.4644183,0.13045565,0.31140407,0.32458723,0.28737361,0.34541789,0.45736273,0.40722194,0.20059516
All Housing Types (Own) 4-5 BR,All Values,,3.0389559,0.1583326,0.6541729,0.46412536,0.39648076,0.45512369,0.43703231,0.30823576,0.1654525
All Housing Types (Own) 4-5 BR,First Tercile,Below 209000,2.9997953,0.15957011,0.63845104,0.50040942,0.38744456,0.42555442,0.41589901,0.2731491,0.19931764
All Housing Types (Own) 4-5 BR,Second Tercile,209000 to 360000,3.1042033,0.17483329,0.67621007,0.51594068,0.43870882,0.43930597,0.43399794,0.28835882,0.13684769
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 360000,3.0128903,0.14134759,0.64769725,0.3805659,0.36439734,0.49788345,0.45965817,0.36003692,0.16130367
All Housing Types (Rent) 0-1 BR,All Values,,1.2222932,0.01950516,0.02134803,0.36988651,0.10748823,0.14275809,0.20848082,0.16642338,0.18640295
All Housing Types (Rent) 0-1 BR,First Tercile,Below 61000,1.0916421,0.00405939,0.01156648,0.1122727,0.05888895,0.1253406,0.24456431,0.24267364,0.29227604
All Housing Types (Rent) 0-1 BR,Second Tercile,61000 to 95000,1.2345228,0.02987552,0.01056708,0.38130014,0.10484094,0.1920332,0.2406639,0.1615491,0.11369295
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 95000,1.3358225,0.02432259,0.04112439,0.60598464,0.15665671,0.11195861,0.1428419,0.09798378,0.15494986
All Housing Types (Rent) 2 BR,All Values,,2.0136331,0.12074104,0.22079886,0.74648608,0.26619073,0.19406636,0.19726893,0.13957833,0.1285028
All Housing Types (Rent) 2 BR,First Tercile,Below 97000,1.8771317,0.12026574,0.21847819,0.54427779,0.20039723,0.17752209,0.24553113,0.17807,0.19258955
All Housing Types (Rent) 2 BR,Second Tercile,97000 to 132000,1.9836456,0.13619811,0.20585314,0.80930941,0.25988214,0.17864001,0.17062835,0.12825267,0.09488181
All Housing Types (Rent) 2 BR,Third Tercile ,Above 132000,2.1739187,0.10589777,0.23781127,0.87778506,0.33538663,0.22516383,0.1774574,0.11395806,0.10045872
All Housing Types (Rent) 3 BR,All Values,,3.089212,0.27202846,0.71185101,0.99749627,0.46828604,0.29311254,0.20561363,0.09883159,0.04199244
All Housing Types (Rent) 3 BR,First Tercile,Below 110000,2.9814518,0.34507606,0.68081132,0.90192154,0.34801174,0.3365359,0.18094476,0.14585001,0.04230051
All Housing Types (Rent) 3 BR,Second Tercile,110000 to 157000,3.077929,0.25820657,0.79076595,0.83733654,0.55337603,0.26274353,0.27141713,0.06832132,0.03576194
All Housing Types (Rent) 3 BR,Third Tercile ,Above 157000,3.2039085,0.21496529,0.66572384,1.243893,0.50218565,0.28053484,0.16598097,0.0829262,0.04769864
All Housing Types (Rent) 4-5 BR,All Values,,3.7523205,0.31786354,1.1169191,1.1592574,0.46930467,0.29832275,0.15502361,0.09851816,0.13711122
All Housing Types (Rent) 4-5 BR,First Tercile,Below 107000,3.0632008,0.18297655,0.89704383,0.84250765,0.23955148,0.30632008,0.19979613,0.16615698,0.22884811
All Housing Types (Rent) 4-5 BR,Second Tercile,107000 to 159000,4.1762678,0.41900542,1.5150172,1.0393895,0.67355982,0.25258493,0.13441654,0.07631709,0.06597735
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 159000,3.9809125,0.34543762,0.94134078,1.5619181,0.48603352,0.33426443,0.13361266,0.05772812,0.12057728
