Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Rent), 2 BR",First Tercile,Below 121000,2.1530329,0.13466367,0.31822387,0.4988767,0.27514206,0.19730408,0.26866658,0.26562706,0.19452888,7567.0,0.19794705,1.82741,2.4786558,0.15123916
"50+ Units (Rent), 2 BR",Second Tercile,121000 to 161000,2.4384665,0.1657508,0.40255591,0.85789137,0.28204473,0.26760383,0.19488818,0.16332268,0.10440895,7825.0,0.23658028,2.0492919,2.827641,0.15959808
"50+ Units (Rent), 2 BR",Third Tercile ,Above 161000,2.1142965,0.08739581,0.19765092,0.68540035,0.42447588,0.20699672,0.22152059,0.14536499,0.14549129,7918.0,0.20052358,1.7844352,2.4441578,0.15601468
"50+ Units (Rent), 3 BR",All Values,,3.5434106,0.15946039,0.839156,1.1968177,0.43479765,0.36112072,0.26772743,0.17502594,0.10930474,2891.0,0.56765726,2.6096144,4.4772068,0.26353034
"50+ Units (Rent), 3 BR",First Tercile,Below 146000,3.63626,0.27936146,1.1995439,0.88939567,0.48460661,0.42645382,0.20068415,0.04903079,0.10718358,877.0,0.97770914,2.0279284,5.2445915,0.44230378
"50+ Units (Rent), 3 BR",Second Tercile,146000 to 189000,3.5811277,0.23360184,0.73532796,1.3831991,0.55926352,0.24510932,0.28078251,0.08285386,0.06098964,869.0,0.96187454,1.9988441,5.1634114,0.44183948
"50+ Units (Rent), 3 BR",Third Tercile ,Above 189000,3.4436681,0.01135371,0.6419214,1.2908297,0.30218341,0.39912664,0.30917031,0.34148472,0.14759825,1145.0,1.1464438,1.5577681,5.3295682,0.5476428
All Housing Types (Own) 0-1 BR,All Values,,1.8367013,0.0452271,0.14424557,0.33516166,0.2382602,0.28387221,0.31543495,0.28974211,0.18475751,10392.0,0.15257695,1.5857122,2.0876904,0.13665209
All Housing Types (Own) 0-1 BR,First Tercile,Below 159000,1.5760099,0.04563676,0.07893925,0.21615788,0.20197348,0.17607154,0.35584335,0.33333333,0.16805427,3243.0,0.23196739,1.1944235,1.9575962,0.24212181
All Housing Types (Own) 0-1 BR,Second Tercile,159000 to 254000,1.8717644,0.04760488,0.1678072,0.40255876,0.21094912,0.35257364,0.29604284,0.23504909,0.15917882,3361.0,0.27902881,1.412762,2.3307667,0.24522445
